play_id,play_type,play_desc
1,Physical,"1)        Gross motor movement: By making large movements with their hands, feet, and body while dancing, children learn their capabilities of moving their bodies around. 
2)        Fine motor skills: Playing with Legos and other building toys allow children to practice finder motor movements, like grasping a small object between their thumb and forefinger (a pincer grasp). "
2,Social-Emotional,"1)	Theory of mind: Considering that different people know different things, and that just because you know something doesn’t mean everyone knows it is an important skill in perspective taking. You may observe theory of mind while playing games, when you have to consider the goals and desires of the other player when making your moves.
2)	Empathy: Showing concern for others; if someone gets hurt, and your child helps them, they are showing empathy for that child’s pain.
3)	Turn-taking: Most games involve taking turns. Knowing that you must follow an order of turns helps children learn to follow rules, an important part of living in a society."
3,Sensory,"1)	Touch: Having the tactile feel of the wet paint as you finger-paint provides some children a good sensory feeling as they smear the paint around the canvas. Of course, some kids find this feeling unpleasant.
2)	Vision: Children often gravitate towards a handful of certain colors as their favorite color (e.g., red and blue). If a child’s favorite color is red, they will usually gravitate towards a particular red, the one that most people would all agree is the “best” or more “representative” shade of red. This shade of red is referred to as red’s focal color. All colors have such a focal color—a shade that people agree is the best shade. Some vision scientists argue that these focal colors are a result of how the visual receptors for color in the eye (the cones) work together and are wired. "
4,Cognitive,"1)	Sorting: Children will commonly sort their toys and other items into different groups. This shows them considering the different dimensions and attributes that an object may possess. For instance, you may observe your child sorting their race cars by color or by speed, or perhaps sorting books by size or genre. 
2)	Episodic memory: At the end of their day, children will sometimes discuss what they did during the day. This is using episodic memory: retrieving from long-term memory past events (“episodes”). This can become a nice bed-time routine as you recollect these past moments.  
3)	Planning: Following instructions as a child builds a Lego or some other toy from parts requires sequencing the events in the proper order and making sure they have all the needed materials as they follow the steps. "
5,Communication,"1)	Wordplay: Children like rhyming words (think Dr. Seuss!). Creating rhymes requires phonemic awareness, the awareness that words are made up of individual sounds that are separable. These separable sounds are called phonemes. This phonemic awareness comes before a lot of other skills can be learned, including reading. 
2)	Metaphor: As children grow in their linguistic capabilities, they begin to use and understand metaphor, when the literal meaning of what you say doesn’t match what you truly mean. You see this when children get more sophisticated in their joke telling. "
