exhibit_id,ex_name,ex_desc
,Art Smart,get inspired
,Big John,travel back to the Cretaceous period
,Central Bank,master money
,Engineers' Workshop,build and create
,Farm,learn your food's origins
,Firehouse,save the day
,Global Café,explore the world around us
,Ice Cream Parlor,scoop sweets
,KidsPort,spash and explore
,Light Cloud,create sound and color
,Pizza Place,cook up something delicious
,Publix,grocery shop
,St. John's Children's Hospital,try healthcare roles
,Tugboat Tots,toddle and play
,Twinkle Stars Theater,put on a show
,Vet Clinic,care for cuddly critters
,Water's Journey,climb to the clouds
