activity_ID,activity_name,act_desc,activity_extend,whats_learned
1,Bilingual Activity,"Malcolm the Robot’s eyes light up, “I love to travel and try new cuisine from all over the world! During my travels, I’ve learned a lot about other cultures and their languages. Can you help me prepare a Hispanic meal?” Help the robot by finding three items from the store: rice, carrots, and soup. After you do so, the Robot will tell you how to say them in Spanish.
1.        Rice = arroz 
2.        Carrots = zanahoria 
3.        Soup = sopa ","You can tell the child to select more items, so there will be
 more words to practice in the second language (you can use Google translate or another website to help you translate the words). At home, you can continue to teach them simple words of things and tasks done daily (ex. toothbrush-cepillo de dientes, school-escuela)","In this activity the children are
 learning about other cultures traditions and about being bilingual. Learning a second language early on is much easier than trying to learn a language later in high school."
2,Nutrition,"Malcolm the Robot looks at amazement at all the food. “I do not 
eat food, so I want to learn more about the different types of food in the five major food groups: fruits, vegetables, grains, dairy, and proteins.” Help the Robot by finding two foods from each of the major food groups and explain to him why the foods in each group belong together. ","As your child selects different foods, discuss the various characteristics of the food, and encourage them to find another one like it. You may want to ask questions about where the food comes from, or what that food does for your growing body.","Putting objects into categories is an
 important developmental milestone. Categories allow people to make guesses about unfamiliar objects. For example, someone may not know what a mango is, but once they know it belongs in the fruit category, they can understand that it would share many of the attributes that other fruits have. Learning to build categories (such as food groups) engages children's innate ability to organize knowledge they learn from their world."
3,Money,"Somehow Malcom the Robot has 
some money.  “I would like to learn how money works by buying something here at the store. Help me by selecting out items and seeing how much they cost using the scanner at the checkout. How many items can I buy?”","As your child finds the prices of 
various items, discuss their relative costs. You can draw on their number ability by choosing two items and ask which price is bigger. Have them count out loud the number of dollars they will need to spend to purchase all they have chosen. Ask them why they think some items cost more than others.","Discussing money is an easy way to 
engage children's growing math and counting skills. It makes a real world connection for why math sense is important. Making purchases also require children to begin to understand greater than and less than comparisons about numbers."
4,Sorting,"Malcom the Robot looks at his body.
 “Because I cannot grow, I am very concerned with the sizes of things. Pick five things from the grocery store and order them by size, from smallest to largest.”","At its core, this is a simple activity,
 but you can make it more challenging. Ask your child to next order the objects not by height but by weight. Then ask them to sort them by color or shape.","Sorting allows children to more 
easily compare a number of objects across different dimensions. They work on greater than and less than skills. They also develop their growing sense of order that Piaget studied in young children. As they mature, they are better able to select dimensions to sort along and can order larger sets of objects."
5,Letters,"Malcom the Robot exclaims, “I noticed that robot starts with the same letter as rice. I 
would like to find three objects in the store that also start with an R.” After you help the Robot do that, find three objects that start with the same letter as your name or a friend's name.","Ask your child to trace the letter on the object. Many logos use different fonts to write their name. Ask your child if they notice any differences across all the letter P's, for example.",Letter sense and letter recognition is key to more complex activities such as reading. Children start with their knowledge of the alphabet but need to expand on their understanding of printed material by recognizing the similarities and differences in how letters may be printed.
6,Bones,"Malcom the Robot states “Oh, bones! I do not have bones in my body, so I want to learn all about the skeleton of animals. However, the skeletons of different animals look quite different.” Imagine you have a dog that has to go to the vet to get an X-Ray. Can you find the X-Ray that looks like a dog? Try to find the stuffed animal that matches each of the X-Rays, and then place the animals in order, from smallest to largest.","If this seems too easy, you can make it more challenging by having the child grouping the X-Rays by how they look or by how they move (i.e. four legs vs. no legs). To make this more symbolic, you can have the child put on the veterinarian scrubs and stethoscope. ","Symbolic play is very important in helping children to understand, according to Piaget. This is also the time when children are learning to differentiate humans from other animals. Children are beginning to evaluate stimuli on several levels and understand the differences between animals. "
7,Eating the Rainbow,"Malcom the Robot notes, “For some people, there are certain foods that they cannot eat. There are people who can’t eat dairy, like milk or cheese. Using the “I can eat a Rainbow” help me design a meal plan for you and also someone who cannot eat breads or grains. These people have what is called Celiac disease.” ","Try to help your child by pointing out things that you make regularly.  It may help to ask them which foods are their favorites. You may want to explain how you prepare a meal, and how that is different for people all around the world. Introduce different allergens that you know of (gluten, peanuts, etc.) that schoolmates may have and have the child avoid using these for their meal plans. ","By rehearsing a task, the information is better remembered by children. When the child continues to make the meal plans, he or she will learn how to incorporate a well balanced diet into their everyday life. By seeing the full meal circle with the images, the child will be able to relate that to their meals at home. "
8,Going to the Doctor,"Malcolm the Robot doesn’t know about the human body. He needs to know about muscles, nerves, and organs. Malcolm says, “I want to help people feel better. When I tell you the symptoms, help me identify the body part where the symptoms come from.”
	Problem: It hurts you to swallow. 
		Answer: Throat
	Problem: You have diarrhea and cramps.
		Answer: Intestines 
	Problem: You are coughing and have trouble breathing.
		Answer: Lungs","You may come up with more problems for the child to answer, if these seem too easy. To further their knowledge, you can explain medicines that help with these symptoms. It may help with understanding to point out an overarching illness that may explain the symptoms (i.e. strep throat). You should also point out and identify where these parts are on yourself and the child. ","This activity helps children understand their bodies more by identifying where the part is on the skeleton and then locating it on themselves. This is a mapping task, which is important in children’s development. Problem solving is also an important skill for children to develop. By being able to determine which body part portrays the symptom, children are also identifying which body part it cannot be, which supports deductive reasoning.   "
9,Make Me a Pizza!,"Malcolm the Robot sees all the pizza toppings. “I love preparing pizzas! Let us surprise your family with pizza for dinner. Help me create a pizza following this recipe and using the ingredients on the counter.”
	Sauce
	Cheese
	1+2 pieces of pepperoni 
	2-0 green peppers 
		3-1 pieces of mushrooms","You can have the child count each number of ingredients onto the pizza, then explain the – or + meaning add or take away. When this recipe is completed, you may ask the child to prepare a pizza to their liking or your liking. You may sit at the table and ask the child to take your order, providing arithmetic problems as numerals for ingredients. ","By doing this activity, children practice their math and spatial skills. The addition and subtraction problems in the recipe allow children to practice concepts of math, while having to spread the ingredients out on the pizza reinforces spatial and motor skills. "
10,Advanced Pizza Making,"Malcolm the Robot sees all the pizza toppings. “I love preparing pizzas! Let us surprise your family with pizza for dinner. Help me create a pizza following this recipe and using the ingredients on the counter.”
	Sauce 
	 4 ÷4  Slices of cheese 
	3 x 2 Pieces of pepperoni 
	3 Pieces of peppers on 1/4 of the pizza 
	2 x 2 Pieces of mushrooms on 1/3 of the pizza ","You should ask the child whether the 1/3 or 1/4 is larger. It would help to have the child divide the pizza into parts and compare each section. If this seems too easy, you could provide your own order with increasing difficulty of the activity (e.g. 5 x 2 pieces of pepperoni on 3/4 of the pizza). Ask them which fraction is the most of the pizza and the least?","At this age, children are developing the ability to represent a problem mentally, which allows them to solve multi-step problems. They are also developing the skill to think abstractly, as in comparing the sections of the pizza in their mind. This is also a rehearsal task, because the children are practicing the math skills. "
11,Order Up!,"Robots are good at taking orders. Malcolm states, “I really want to learn how to be a server at Outback, can you help me? We must take everyone’s order and prepare it in the kitchen.” A family orders a cheese sandwich and two ham sandwiches. Try to remember the order and prepare it in the kitchen, then deliver the food to the family.","If you want to make this more challenging, you can ask the child to remember more items. However if this is too challenging, you can give the child less items to remember.","This is a rudimentary memory skill, in which children practice strategies to remember things. Children at this age should be able to remember the orders, so giving them more to remember and memory strategies will reinforce this important skill. "
12,I'm Here to Help,"After placing the order, the family realized that the bill is going to be $20, but they only have $15, which is all the money they have left for the week. The family leaves all of their $15 and goes home. Is this what the family should have done? What if you have $5 and the family asks you for help to pay? Should you give the family $5 so that they can pay for their meals or should they order less food?  ","Depending on the child’s answer, ask them why they would or would not share their money. You can explain how it is beneficial to others who are in need to lend them help. Also, it may help to tell the child that they can be paid back if they do help. ","Children at this age are beginning to develop morality. This is an important concept to their understanding of their world and themselves. By doing this activity, children reinforce their understanding of what is right or wrong. This activity is also helpful in understanding mathematical skills, because it reinforces greater than and less than concepts. "
13,Planning a Party,"Malcom the Robot says, “It is almost my birthday! I need your help to plan a party to celebrate with friends and family.” Help Malcom by pickign what is most important to do first and get it all done before the day of the party! Order the following things on the to-do list in order of importance, and then follow the plan.
•	Make a guest list  _____
•	Set up decorations _____
•	Order food and drinks _____
•	Invite guests _____
•	Buy a present _____
•	Pick venue: Outback or Carraba’s ","You may assist children in beginning to think about whom they want to invite first. For example, you may list family members and classmates, which may probe them to list more people. It may also be helpful to remind the child about the different variety of pizzas that can be made, because everyone may not like the same toppings. ","Children at this age are beginning to develop their planning abilities. This will help them to practice a sequence of events, like the order in which a party is planned. Prosocial behavior is also reinforced, because the child must plan something to benefit everyone, especially (Robot). "
14,Fire Fighter!,"Malcolm the Robot asks you, “Imagine you are a firefighter. One day you are at the fire station and you have to participate in a fire drill. There are so many steps that firefighters have to follow in order to complete the mission. Show me what order the steps go in.” 
•	Put out the fire _____
•	Get dressed _____
•	Go down the pole _____
•	Arrive at the scene _____
•	Get in the fire truck _____
•	Check that you have all the equipment _____
•	Look for anyone in danger _____",You can tell them some of the complications firefighters are faced with when doing their job. Ask the child what they think the firefighter should do in other to solve the problem. ,"This task involves a make-believe situation. By doing this, the child is using symbolic play. Also, the use of planning and organization because they have to follow several steps and see which steps comes first and which one goes after. "
15,Shall We Dance?,"Malcolm the Robot’s starts to move his legs as he gets closer to this exhibit.  “I can’t wait for this party! There are so many dance styles to choose from, like country and Latin, each with their own moves. I need your help mastering the basic steps from some styles!” ","After practicing each of the styles, ask if the child can come up with a routine incorporating the different moves that they learned. To carry this activity home, you can ask the child if he/she is interested in learning more moves from one or more of the different styles. You can find videos of different moves online. ","During this age, children are refining their motor skills and developing better balance and coordination skills. By practicing dancing these skills are more reinforced and may better develop. "
16,Kaleidoscope,"Malcolm the Robot gazes up at the exhibit and says, “Look into one of the kaleidoscopes at the base of the structure. Turn the wheel, what changes about what you see? Next, stand under the large kaleidoscope. Go stand another kaleidoscope, is this one the same as the other or do they look different? Explain what you see and what you think I see.”",This is a good time to articulate the different perspectives that people take and the categorical knowledge of children at this age. You may try to emphasize how the pictures look different in the big kaleidoscope and that the child’s manipulation of the image makes that change in the small kaleidoscope. ,"Children at this age are beginning to understand that others may see differently than them, because they have developed Theory of Mind. This activity reinforces the different perspectives others have and that we don’t all see and think the same things. "
17,Counting Quickly,"(Robot) “When you share with someone, together you have more. You have one cookie and I have one cookie, but we both decide to save them for later. We each put our cookie on the same plate. How many cookies are on the plate?” 
“If you have two games and I have one game, how many games do we have altogether?” ","You can draw two circles and help the child count how many circles there are. As this gets easier, use increasingly larger numerals in the problems. When at the store, ask the child to count how much of a certain product you are purchasing, or how much of a certain food you are cooking at home. ","This task teaches children to practice counting and arithmetic. These skills are important to children’s cognitive development, which will help them with problem-solving tasks. "
18,The Case of the Missing Letter,"Malcolm the Robot goes over the whiteboard and puts up a few letter.  “Can you figure out what letter is missing? By looking at the incomplete word, try to figure out what the word is supposed to be and complete it.”","You can make a word with any of the letters, like cat or fork, but leave out one letter. If the activity becomes too easy, try to leave out a few more letters and use a longer word. ","Word completion is one aspect of intelligence that can be evaluated. This task involves rehearsing the child’s ability to mentally represent the word to fill in the blank. By doing this, the child is practicing the transfer of mental knowledge to the real world. "
19,How the Mind Wanders,Malcolm the Robot goes over to all the toys.  “Pick a toy that you most like. Think about how you play with that toy. Explain to me what it is and four things or topics that are related to the toy you picked.”,"Tell the child to connect more words to the toy chosen. Also, when at home you can practice this task by asking your child to link topics related to a hobby or activity they enjoy doing. ","The children are using network model of memory. This means memory is viewed as an interconnected network, with information stored as a concept nodes connected by links. "
20,Time to Draw!,"Malcolm the Robot enters into the Art Classroom. “What is your favorite animal at the zoo? Create a drawing of the animal you most like. When you are done, tell me about the animal’s body parts and what it’s doing in the picture. “",Help the child create a more complex drawing by adding more animals to the artwork. You should draw the same animal as them so that you can compare the differences and explain them to the child.,"During this age, children are developing mental representation. Depending on the type of drawing the child did. It can be determined how accurate and complexity of mental representation."
21,Surely You're Joking,"Malcom the Robot says to you, “Imagine you can read my mind. While we are walking through the Sports area, pay close attention to what you see. Try to finish my sentences by comparing what I think with what you see.” 
1.	The _____________ is a plane. (parrot)
2.	The _____________ is a pogo stick. (rabbit)
3.	The _____________ is molasses. (turtle)","You can carry this activity over to any area by asking the child what something reminds them of. For example, if you were cooking dinner, you may ask the child what the hot stove reminds them of. Children may respond with the sun or a volcano. ",Children further develop their grammatical skills of metaphors with this activity. This is important to their development of language. 
22,Who is Faster?,"Malcolm the Robot asks you this question, “Whoa! You just ran against all of the animals in the “Animal Race.” I think that the turtle was the slowest and the parrot was the fastest, but that the rabbit was not as fast as the parrot. Is the rabbit faster or slower than the turtle?”","It would make sense to ask similar questions for other animals. For example, you can insert another animal into the scenario, like a cheetah is faster than the rabbit, so is the cheetah faster than the turtle? You may want to use the “Animal Race” activity as a visual representation of the problem. This can help children visualize the scenario. ","This is a practice of children’s logic skills. They should be developing the ability to use reason to make sense of a situation, such that with the given information, they can figure out which animal is faster or slower.  "
23,At the Races,"Malcom the Robot says excitedly, “I can run as fast as the dog, but I want to know who else I can beat in a race. Which animal do you think I can beat in a race? Which animals do you think you can beat in a race?”",Help your child make a prediction about how fast the various animals are. See if they can compare the speed of a pair of animals. You can ask them why they think some animals are faster than others.,"Making predictions helps your child's innate understanding of science and nature. As they learn to make comparisons across different aspects (such as speed), children develop ""mental models"" to anticipate different outcomes in the world around them. This fosters further understanding of science and builds to more complex concepts."
24,How High?,"Malcolm the Robot notes, “I know that 1 foot is equal to 12 inches. I measured my height, and found that I am 1 foot and 2 inches high. How many inches is that? The average robot is about 11 inches high. Am I taller or shorter than the average robot? 
By how much? I want to know how tall you are. The average height for a child 
4- to 6-years-old is 37 to 42 inches. Are you taller or shorter than the average child around your age?","Using hand gestures, show your child about how long a foot is compared to an inch. Ask them to tell you which one is bigger. Explain that 12 inches make one foot, then ask them to count up to 12 to show how many more inches are needed to make one foot.","Measurement is a skill set that takes time to develop in children. However, it is important to introduce them to the concepts of bigger and smaller as well as some of the names of the units. As they start to learn comparisons of length, they will eventually develop better concepts of what measuring entails."
25,How Strong?,"Malcolm the Robot exclaims, “Because I have arms of steel, I am fascinated by how strong people's hands are. I noticed the funny contraption that has a handle and chain, and that it makes a lever.  I tried to grab the handle and pull, but I can't quite manage. Can you show me how strong you are and grab the handle and pull it? What do you notice as you move the handle back and forth?”","The position of the handle within the bar creates a lever. The farther the handle is moved, the longer the lever and the easier to pull up the weight. Ask your child to pull using a shorter lever and then with a longer lever. Ask them which one was easier to pull. Ask them if they've ever played on a see-saw, a type of lever. It's easier to go up and down when you are farther down the see-saw than closer.","Piaget demonstrated that young children begin to think about scientific principles based on their real world experiences. When children interact with even simple science demonstrations, they build their knowledge base and begin to form concepts of how the world works. They may not know the formal names of things like ""levers"" but playing with such items allows them to start constructing scientific knowledge that they will use throughout development."
